kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
combo,2048,2048,5,256,256,256,1,20,22.9983,9.119,3498483383,642010247,222305399,63.5434
combo,2048,2048,5,512,512,256,1,20,32.5633,6.440,3337915666,624111760,157146470,47.0792
combo,2048,2048,5,0,0,256,1,20,74.5922,2.811,3224318640,612417028,97759382,30.3194
combo,2048,2048,5,16,16,256,2,20,45.6855,4.590,8654604054,1283224003,94685622,10.9405
combo,2048,2048,5,32,32,256,2,20,43.7576,4.793,5338487720,921181457,159772298,29.9284
combo,2048,2048,5,64,64,256,2,20,30.5104,6.874,3732953702,757305969,287939189,77.1344
combo,2048,2048,5,128,128,256,2,20,18.7707,11.172,2941935177,679294197,212010671,72.0650
combo,2048,2048,5,256,256,256,2,20,21.0181,9.978,2551966696,641929295,200089482,78.4060
combo,2048,2048,5,512,512,256,2,20,31.3113,6.698,2360454353,624172033,149542304,63.3532
combo,2048,2048,5,0,0,256,2,20,71.0552,2.951,2222740217,612358869,97896951,44.0434
